reference_response_question_end,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
a and b guest house?,0.0,0.0,0.0,0.0,0.0,1
a better choice for you?,0.0,0.0,0.0,0.0,0.0,1
a better option for you?,0.0,0.0,0.0,0.0,0.0,5
a comparable place that does?,0.0,0.0,0.0,0.0,0.0,7
a deal breaker for you?,0.0,0.0,0.0,0.0,0.0,1
a different day or time?,0.0,0.0,0.0,0.0,0.0,1
a different guesthouse for you?,0.0,0.0,0.0,0.0,0.0,2
a different location for you?,0.0,0.0,0.0,0.0,0.0,1
a different option for you?,0.0,0.0,0.0,0.0,0.0,2
a different place to stay?,0.0,0.0,0.0,0.0,0.0,1
a different restaurant for you?,0.0,0.0,0.0,0.0,0.0,1
a good fit for you?,0.0,0.0,0.0,0.0,0.0,1
a good situation for you?,0.0,0.0,0.0,0.0,0.0,1
a larger room is available?,0.0,0.0,0.0,0.0,0.0,1
a mattress for your needs?,0.0,0.0,0.0,0.0,0.0,1
a more highly rated place?,0.0,0.0,0.0,0.0,0.0,1
a perfect view while eating?,0.0,0.0,0.0,0.0,0.0,1
a place with better ratings?,0.0,0.0022008253094910595,0.0,0.0,0.0,6
a place with better reviews?,0.0,0.0,0.0,0.0,0.0,1
a place with better service?,0.0,0.0,0.0,0.0,0.0,1
a place with free wifi?,0.0,0.0,0.0,0.0,0.0,1
a place with higher ratings?,0.0,0.0,0.0,0.0,0.0,2
a place with lower prices?,0.0,0.0,0.0,0.0,0.0,6
a place with more offerings?,0.0,0.0,0.0,0.0,0.0,1
a place with more options?,0.0,0.0,0.0,0.0,0.0,2
a place with relaxing atmosphere?,0.0,0.0,0.0,0.0,0.0,1
a reservation at hobson's house?,0.0,0.0,0.0,0.0,0.0,1
a reservation at j restaurant?,0.0,0.0,0.0,0.0,0.0,1
a reservation at meze bar?,0.0,0.0,0.0,0.0,0.0,1
a reservation at the restaurant?,0.0,0.0,0.0,0.0,0.0,2
a reservation at this location?,0.0,0.0,0.0,0.0,0.0,1
a reservation at this time?,0.0,0.0,0.0,0.0,0.0,1
a reservation for a table?,0.0,0.0,0.0,0.0,0.0,1
a reservation for this location?,0.0,0.0,0.0,0.0,0.0,1
a reservation for you now?,0.0,0.0,0.0,0.0,0.0,1
a reservation for you there?,0.0,0.0,0.0,0.0,0.0,2
a reservation or keep looking?,0.0,0.0,0.0,0.0,0.0,1
a reservation or look elsewhere?,0.0,0.0,0.0,0.0,0.0,1
a reservation some place else?,0.0,0.0,0.0,0.0,0.0,1
a reservation somewhere else instead?,0.0,0.0,0.0,0.0,0.0,1
a reservation there for you?,0.0,0.0,0.0,0.0,0.0,1
a reservation to dine there?,0.0,0.0,0.0,0.0,0.0,1
a reservation to eat there?,0.0,0.0,0.0,0.0,0.0,1
a restaurant with better views?,0.0,0.0,0.0,0.0,0.0,3
a room at hobsons house?,0.0,0.023272727272727278,0.0,0.0,0.0,1
a room at kirkwood house?,0.0,0.0,0.0,0.0,0.0,1
a room at that hotel?,0.0,0.015153906866614051,0.0,0.0,0.0,1
a room at the ashley?,0.0,0.0,0.0,0.0,0.0,1
a room at this location?,0.0,0.0,0.0,0.0,0.0,1
a room at this time?,0.0,0.0,0.0,0.0,0.0,2
a room at worth house?,0.0,0.0,0.0,0.0,0.0,1
a room for you there?,0.0,0.008268733850129202,0.0,0.0,0.0,3
a room there for you?,0.0,0.012972972972972974,0.0,0.0,0.0,2
a table at curry garden?,0.0,0.0,0.0,0.0,0.0,1
a table at curry prince?,0.0,0.0,0.0,0.0,0.0,1
a table at either restaurant?,0.0,0.0,0.0,0.0,0.0,1
a table at royal spice?,0.0,0.0,0.0,0.0,0.0,1
a table for 5 people?,0.0,0.0,0.0,0.0,0.0,1
a table for you outside?,0.0,0.0,0.0,0.0,0.0,1
a table for you there?,0.0,0.0,0.0,0.0,0.0,6
a table for your party?,0.0,0.0,0.0,0.0,0.0,3
a table indoors for you?,0.0,0.0,0.0,0.0,0.0,2
a table on the patio?,0.0,0.0,0.0,0.0,0.0,1
a table or keep looking?,0.0,0.0,0.0,0.0,0.0,1
a table or keep searching?,0.0,0.0,0.0,0.0,0.0,2
a table outdoors for you?,0.0,0.0,0.0,0.0,0.0,1
a table outside for you?,0.0,0.0,0.0,0.0,0.0,1
a table there for you?,0.0,0.0,0.0,0.0,0.0,3
a table to eat outdoors?,0.0,0.0,0.0,0.0,0.0,1
a table with a view?,0.0,0.0,0.0,0.0,0.0,1
a third option for you?,0.0,0.022351571594877773,0.0,0.0,0.0,1
a window seat for you?,0.0,0.0,0.0,0.0,0.0,1
abou the a and b?,0.0,0.0,0.0,0.0,0.0,1
about a and b guesthouse?,0.0,0.0,0.0,0.0,0.0,1
about any of the places?,0.0,0.0,0.0,0.0,0.0,1
about any of these places?,0.0,0.0,0.0,0.0,0.0,2
about any of these restaurants?,0.0,0.0,0.0,0.0,0.0,1
about any other menu items?,0.0,0.0,0.0,0.0,0.0,1
about caffe uno for you?,0.0,0.0,0.0,0.0,0.0,1
about charlie chan for you?,0.0,0.0,0.0,0.0,0.0,1
about either of these restaurants?,0.0,0.0,0.0,0.0,0.0,1
about india house for you?,0.0,0.0,0.0,0.0,0.0,1
about pizza hut cherry hinton?,0.0,0.0,0.0,0.0,0.0,1
about pizza hut fen ditton?,0.0,0.0,0.0,0.0,0.0,2
about prezzo for you today?,0.0,0.0,0.0,0.0,0.0,1
about rice boat for you?,0.0,0.0,0.0,0.0,0.0,1
about saint johns chop house?,0.0,0.0,0.0,0.0,0.0,1
about the a & b?,0.0,0.0,0.0,0.0,0.0,1
about the acorn for you?,0.0,0.0,0.0,0.0,0.0,1
about the acorn guest house?,0.0,0.0059405940594059415,0.0,0.0,0.0,4
about the allenbell for you?,0.0,0.0,0.0,0.0,0.0,1
about the ashley for you?,0.0,0.024806201550387603,0.0,0.0,0.0,1
about the cambridge chop house?,0.0,0.0,0.0,0.0,0.0,1
about the cow pizza kitchen?,0.0,0.0,0.0,0.0,0.0,1
about the dojo noodle bar?,0.0,0.0,0.0,0.0,0.0,4
about the guesthouse for you?,0.0,0.0,0.0,0.0,0.0,1
about the hotel for you?,0.0,0.0,0.0,0.0,0.0,3
about the huntingdon marriott hotel?,0.0,0.0,0.0,0.0,0.0,1
about the la raza restaurant?,0.0,0.0,0.0,0.0,0.0,1
about the lan hong house?,0.0,0.0,0.0,0.0,0.0,2
about the menu at meghna?,0.0,0.0,0.0,0.0,0.0,1
about the restaurant for you?,0.0,0.0,0.0,0.0,0.0,9
about the rice boat today?,0.0,0.0,0.0,0.0,0.0,1
about the train you need?,0.0,0.0,0.0,0.0,0.0,1
about these restaurants for you?,0.0,0.0,0.0,0.0,0.0,1
about this location for you?,0.0,0.0,0.0,0.0,0.0,5
about this spot for you?,0.0,0.0,0.0,0.0,0.0,1
additional information about the hotel?,0.0,0.0,0.0,0.0,0.0,1
additional information about the lodge?,0.0,0.0,0.0,0.0,0.0,1
additional information about the nirala?,0.0,0.0,0.0,0.0,0.0,1
additional questions about royal spice?,0.0,0.0,0.0,0.0,0.0,1
additional questions about the gonville?,0.0,0.0,0.0,0.0,0.0,1
additional questions about the hotel?,0.0,0.0,0.0,0.0,0.0,1
additional questions about their menu?,0.0,0.0,0.0,0.0,0.0,1
additional questions about this location?,0.0,0.0,0.0,0.0,0.0,1
additional questions for you today?,0.0,0.0,0.0,0.0,0.0,1
affordable place that serves pizza?,0.0,0.0,0.0,0.0,0.0,1
affordable restaurant that sells goulash?,0.0,0.0,0.0,0.0,0.0,1
ahead and book a room?,0.0,0.024273072060682688,0.0,0.0,0.0,1
ahead and book a table?,0.0,0.0,0.0,0.0,0.0,1
