target,turn_nr,dialogue_act_history,user_utterance,user_utterance_dialogue_act,ref_domain,ref_doc_type,ref_knowledge,ref_know_nr,ref_know_sentiment,ref_know_avg_sentiment,ref_response,ref_response_length,ref_response_sent_nr,ref_response_summary,ref_response_summary_sentiment,ref_response_question,target,pred_domain,pred_doc_type,pred_knowledge,pred_know_nr,pred_know_sentiment,pred_know_avg_sentiment,pred_response,pred_response_length,pred_response_sent_nr,pred_response_summary,pred_response_summary_sentiment,pred_response_question,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
True,5.0,"['command', 'opinion', 'opinion', 'statement', 'yes_no_question']",Are their bathrooms adequately sanitized?,yes_no_question,hotel,review,"['I also saw some hairs in the bathroom, which was evidently not well cleaned.', 'Upon using the bathroom facilities, we all saw that they were pristine and it looks like they had been recently cleaned.', 'The view from the room was also amazing, and the cleanliness of the bathroom was top notch.']",3.0,"[-0.125, 0.0, 0.55]",0.1416666666666667,"Yes, most of the guests at Hobsons House have rated the bathrooms very high on cleanliness, although there is at least one report of stray hairs in the bathroom.",161.0,1.0,Yes.  most of the guests at Hobsons House have rated the bathrooms very high on cleanliness.  although there is at least one report of stray hairs in the bathroom.,0.1359999999999999,,True,hotel,review,"['The view from the room was also amazing, and the cleanliness of the bathroom was top notch.', 'Upon using the bathroom facilities, we all saw that they were pristine and it looks like they had been recently cleaned.', 'I also saw some hairs in the bathroom, which was evidently not well cleaned.']",3,"[0.55, 0.0, -0.125]",0.1416666666666667,"According to the reviews I have on hand for that location, the opinions are mostly positive.  Only one quarter found the bathrooms not well cleaned, while three quarters found them pristine and top notch.",204,2,"According to the reviews I have on hand for that location, the opinions are mostly positive.  . Only one quarter found the bathrooms not well cleaned, while three quarters found them pristine and top notch.",0.24242424242424243,,0.028982679667979298,0.0981914384145655,0.22222222222222224,0.03278688524590164,0.19047619047619047,,
True,11.0,"['opinion', 'command', 'opinion', 'statement', 'statement', 'statement', 'command', 'statement', 'statement', 'statement', 'yes_no_question']",Could you confirm that Maharajah Tandoori Restaurant has modern or fun décor?,yes_no_question,restaurant,review,"['First thing is first, the d√©cor in the restaurant really transport you to India.', ""I absolutely loved that I felt like I wasn't in my own backyard.""]",2.0,"[0.2333333333333333, 0.6499999999999999]",0.4416666666666666,"Yes, I can do that for you. It looks like the decor at the Maharajah Tandoori Restaurant attempts to transport you to India, so it is themed for the cuisine served there.",170.0,2.0,"Yes, I can do that for you.. It looks like the decor at the Maharajah Tandoori Restaurant attempts to transport you to India, so it is themed for the cuisine served there.",0.0,,True,restaurant,review,"['First thing is first, the d√©cor in the restaurant really transport you to India.', 'It seemed weird but really worked out well.']",2,"[0.2333333333333333, -0.15]",0.04166666666666666,"The Maharajah Tandoori Restaurant has modern or fun décor according to two guests, but one person said it seemed weird.",119,1,The Maharajah Tandoori Restaurant has modern or fun décor according to two guests.  but one person said it seemed weird.,0.0,,0.04205318572408421,0.1244464014384535,0.22641509433962265,0.11764705882352941,0.22641509433962265,,
True,5.0,"['command', 'open_question_factual', 'opinion', 'command', 'yes_no_question']","I need a quiet room, does the hotel have a good policy on loud noise?",yes_no_question,hotel,review,"['This place definitely delivered in that regard.', 'There was no more than a few noises I heard during my entire stay, I was able to keep my head clear.', ""I stayed here with my family, and we were able to get a good night's rest, as it was very quiet."", ""I mean they are like home comfortable, and also it's very quiet so we didn't have to worry about any loud noises.""]",4.0,"[0.0, 0.030000000000000006, 0.39999999999999997, 0.04687500000000001]",0.11921875,"I'm not sure about a policy, but recent guests were pleased with how quiet the Ashley was. When would you like to stay?",119.0,2.0,"I'm not sure about a policy, but recent guests were pleased with how quiet the Ashley was.",0.0625,When would you like to stay?,True,hotel,review,"[""I mean they are like home comfortable, and also it's very quiet so we didn't have to worry about any loud noises."", 'There was no more than a few noises I heard during my entire stay, I was able to keep my head clear.', ""I stayed here with my family, and we were able to get a good night's rest, as it was very quiet."", 'I had a nearby business venture in the area so I was mainly looking for a quiet place to rest my head.']",4,"[0.04687500000000001, 0.030000000000000006, 0.39999999999999997, 0.08333333333333333]",0.14005208333333333,The Ashley Hotel is very quiet according to most guests. Only one person complained about loud noises during their stay.,120,2,The Ashley Hotel is very quiet according to most guests.. Only one person complained about loud noises during their stay.,0.06000000000000001,,0.02342396931126378,0.16056473974102167,0.31818181818181823,0.04761904761904762,0.1818181818181818,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
True,3.0,"['statement', 'statement', 'command']",Do you know anything about the views from the rooms as I hope to have a nice view?,command,hotel,review,"['One of the best things about the hotel is the view of the mountains from the balcony.', 'The staff was polite they took out luggage to our room, and our room had a spectacular view of the forest and nature.']",2.0,"[1.0, 0.6]",0.8,"Yes, the rooms at the Cambridge Belfry have very nice views. Can I answer anything else, or would you like to book it?",118.0,2.0,"Yes, the rooms at the Cambridge Belfry have very nice views.",0.78,"Can I answer anything else, or would you like to book it?",True,hotel,review,"['One of the best things about the hotel is the view of the mountains from the balcony.', 'The staff was polite they took out luggage to our room, and our room had a spectacular view of the forest and nature.', 'The view out of the room and the plethora of options for breakfast were the highlights.']",3,"[1.0, 0.6, 0.0]",0.5333333333333333,The Cambridge Belfry has a spectacular view of the mountains from the balcony. Would you like me to book a room for you?,120,2,The Cambridge Belfry has a spectacular view of the mountains from the balcony.,0.6,Would you like me to book a room for you?,0.054725383866733306,0.19507866700512444,0.4782608695652174,0.22727272727272727,0.391304347826087,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
