,count
"('Do', 'you')",831
"('you', 'want')",466
"('want', 'to')",360
"('to', 'make')",474
"('make', 'a')",467
"('a', 'reservation')",281
"('reservation', 'now?')",13
"('Would', 'you')",2547
"('you', 'like')",2612
"('like', 'to')",1745
"('to', 'know')",1018
"('know', 'more')",607
"('more', 'about')",614
"('about', 'them?')",583
"('about', 'the')",233
"('the', 'place?')",20
"('know', 'anything')",222
"('anything', 'else')",718
"('else', 'about')",106
"('about', 'it?')",37
"('to', 'book')",673
"('book', 'a')",524
"('reservation', 'there?')",82
"('reservation', 'anyway?')",5
"('a', 'room?')",159
"('like', 'me')",838
"('me', 'to')",883
"('to', 'check')",86
"('check', 'out')",66
"('out', 'some')",40
"('some', 'other')",97
"('other', 'places')",31
"('places', 'with')",27
"('with', 'better')",98
"('better', 'ratings?')",43
"('a', 'reservation?')",398
"('a', 'booking?')",57
"('to', 'search')",18
"('search', 'for')",59
"('for', 'a')",43
"('a', 'better')",30
"('better', 'decorated')",1
"('decorated', 'option')",1
"('option', 'for')",34
"('for', 'you?')",609
"('Should', 'I')",154
"('I', 'check')",23
"('check', 'on')",43
"('on', 'availability')",18
"('availability', 'for')",24
"('for', 'your')",25
"('your', 'travel')",3
"('travel', 'dates?')",3
"('Is', 'there')",541
"('there', 'anything')",490
"('else', 'I')",198
"('I', 'can')",318
"('can', 'help')",232
"('help', 'you')",397
"('you', 'with')",206
"('with', 'today?')",47
"('else', ""you'd"")",166
"(""you'd"", 'like')",178
"('to', 'know?')",129
"('Can', 'I')",439
"('I', 'answer')",229
"('answer', 'any')",102
"('any', 'other')",440
"('other', 'questions')",224
"('questions', 'about')",133
"('the', 'guest')",7
"('guest', 'house')",4
"('house', 'for')",2
"('answer', 'anything')",126
"('anything', 'else,')",11
"('else,', 'or')",11
"('or', 'would')",68
"('would', 'you')",111
"('book', 'it?')",116
"('to', 'find')",251
"('find', 'another')",138
"('another', 'place')",93
"('place', 'with')",110
"('better', 'reviews?')",12
"('anything', 'else?')",307
"('Could', 'I')",1
"('I', 'help')",163
"('with', 'anything')",156
"('Sounds', 'good,')",8
"('good,', 'right?')",8
"('about', 'them')",85
"('them', 'or')",85
"('or', 'should')",96
"('should', 'I')",92
"('I', 'look')",59
"('look', 'at')",67
"('at', 'some')",24
"('other', 'places?')",57
"('you', 'have')",309
"('have', 'any')",280
"('the', 'hotel?')",36
"('or', 'book')",13
"('a', 'table?')",151
"('about', 'this')",18
"('this', 'restaurant?')",4
"('you', 'still')",66
"('still', 'like')",24
"('to', 'keep')",11
"('keep', 'your')",9
"('your', 'reservation?')",25
"('look', 'for')",124
"('for', 'another')",98
"('another', 'place?')",84
"('the', 'Lensfield')",1
"('Lensfield', 'or')",1
"('check', 'into')",2
"('into', 'other')",1
"('book', 'you')",76
"('you', 'a')",109
"('a', 'table')",184
"('table', 'to')",1
"('to', 'eat')",3
"('eat', 'outdoors?')",1
"('you', 'with?')",177
"('other', 'questions?')",135
"('want', 'a')",68
"('Will', 'that')",61
"('that', 'work')",50
"('work', 'for')",47
"('for', 'you')",140
"('you', 'or')",32
"('I', 'find')",25
"('another', 'option?')",39
"('like', 'a')",85
"('reservation', 'with')",1
"('with', 'them?')",2
"('any', 'further')",19
"('further', 'questions?')",15
"('that', 'be')",2
"('be', 'okay,')",2
"('okay,', 'or')",2
"('at', 'one')",7
"('one', 'of')",15
"('of', 'the')",20
"('the', 'other')",9
"('other', 'upscale')",1
"('upscale', 'options?')",1
"('Does', 'that')",43
"('that', 'sound')",50
"('sound', 'good?')",3
"('another', 'restaurant')",15
"('restaurant', 'that')",7
"('that', 'serves')",5
"('serves', 'larger')",1
"('larger', 'portions?')",1
"('to', 'contact')",3
"('contact', 'the')",3
"('the', 'hotel')",16
"('hotel', 'to')",1
"('to', 'ask')",4
"('ask', 'them')",7
"('them', 'directly?')",6
"('Want', 'a')",3
"('you', 'need')",172
"('need', 'anything')",21
"('there', 'any')",72
"('other', 'information')",57
"('information', 'that')",21
"('that', 'you')",40
"('you', 'need?')",37
"('know', 'more?')",35
"('Want', 'to')",59
"('a', 'room')",174
"('room', 'at')",19
"('at', 'the')",12
"('the', 'Ashley?')",1
"('find', 'a')",97
"('a', 'place')",66
