ref_response_question,num_samples
would you like to know more about them?,382
do you have any other questions?,121
is there anything else i can help you with?,113
is there anything else you'd like to know about them?,105
can i help you with anything else?,98
would you like to make a reservation?,93
would you like to know anything else?,67
would you like me to make a reservation for you?,63
would you like to book a table?,62
do you want to make a reservation?,62
would you like to book a room?,62
do you want to know anything else?,48
do you want a reservation?,47
would you like to book it?,46
sound good to you?,43
would you like me to book it for you?,41
is there anything else you need to know?,40
would you like to know anything else about them?,39
would you like a reservation?,38
would you like to know more?,35
is there anything else you'd like to know?,35
would you like me to book a room for you?,34
would you like to book a room there?,32
would you like me to book a table for you?,30
would you like to make a reservation there?,29
is there anything else i can help you with today?,27
is there anything else that i can help you with?,27
would you like more information?,26
can i help you with anything else today?,23
would you like to make a booking?,21
is there any other information that you need?,20
would you like me to find another place?,19
do you need anything else?,19
does that sound good to you?,19
would you like to know more about them or have me look for another place?,18
do you want to make a reservation there?,18
would you like me to check out some other places with better ratings?,18
can i answer anything else?,18
will that work for you?,17
do you want to book a room?,17
do you have any other questions about the restaurant?,17
is there anything else you would like to know?,17
would you like me to book you a room?,17
would you like to book a reservation?,16
can i answer any other questions for you?,16
can i answer anything else for you?,15
do you want to book a room there?,15
would you like to know more about the place?,15
would you like me to book you a table?,15
should i book it?,15
would you like me to find another place with better ratings?,14
anything else you would like to know?,14
do you want to stay there?,14
do you have any further questions?,13
want to book it?,13
want to make a reservation?,12
would you like me to make you a reservation?,12
is there anything else that i can help you with today?,12
would you like to know more about them or should i look for another place?,11
would you like me to reserve a table for you?,11
would you like me to reserve a room for you?,11
do you need to know anything else?,11
would you like me to make a booking?,11
do you need any other information?,11
do you want to book it?,10
would you like to stay there?,10
would you like to know more about them or check out a different place?,9
sound good?,9
is there any more information i can find for you?,9
would you like more information about them?,9
would you like to know more about them or should i look for other places?,9
do you need any more information?,9
would you like to reserve a room?,8
should i book it for you?,8
anything else i can help you with?,8
what else would you like to know?,8
are you interested in staying there?,8
is there anything else i can do for you?,8
how does that sound to you?,8
would you like some more information about them?,8
would you like me to reserve you a table now?,8
can i book a room for you?,8
would you like me to find another place for you?,8
would you like to know more about it?,7
would you like to explore some other options?,7
would you like to look elsewhere?,7
would you like me to make a reservation?,7
would you like to know more about either of them?,7
do you need more information?,7
do you have any other questions about the property?,7
should i book a table for you?,7
would you be interested in making a reservation?,7
do you want to look elsewhere?,7
would you like to give them a try?,7
do you want to make a booking?,7
"sounds good, right?",7
do you want to book a reservation there?,6
would you like me to find a place with better ratings?,6
are you still interested?,6
is that going to be a problem?,6
would you like any other information?,6
would you still like to keep your reservation?,6
would you like me to find a place with lower prices?,6
is there any other information i can find for you?,6
would you like to know more about them or should i check out some other places?,6
would you like me to make a booking for you?,6
is there anything else i can tell you about them?,6
would you like me to book a reservation for you?,6
do you want to make a reservation now?,6
would you like me to find another place with better reviews?,6
do you need any other information from me?,6
shall i book it for you?,6
do you have any other questions about the hotel?,6
do you want to book a reservation?,6
do you want to book a table there?,6
is there anything else that i can help you with at this time?,6
would you like me to look for another place?,6
can i answer any other questions for you today?,6
would you like to know more about their menu?,6
would you like me to book a room?,6
can i answer any other questions about the restaurant for you?,5
do you want to book a table?,5
do you want to look somewhere else?,5
do you want to look at other options?,5
would you like to book a reservation there?,5
can i answer any other questions about the hotel?,5
can i answer any other questions?,5
are you interested in making a reservation?,5
would you like some more information?,5
would you like to know more about them or look for another place?,5
would you like me to book it?,5
would you like to know more about any of them?,5
would you like to try them?,5
would you like me to book a reservation?,5
would you like me to check on availability for you?,5
can i answer anything else for you about the restaurant?,5
would you like me to check on the availability of a large room?,5
should i search for another option for you?,5
can i answer anything else for you today?,5
can i help with anything else?,5
would you like me to find a comparable place that does?,5
are there any other questions that i can answer for you?,5
would you like me to book that for you?,5
should i book a table?,5
are you interested in booking a room?,5
would you like to explore other options?,5
are you interested in booking a table?,5
shall i book a room for you?,5
would you like to book?,5
can i answer anything else about this location for you?,5
would you like me to look for another option?,5
would you like to know more about the restaurant?,4
can i find any more information for you?,4
can i book a table for you?,4
do you want a reservation there?,4
do you have any other questions that i can help you with?,4
do you need help with anything else?,4
would you like to know more about them or have me check out other places?,4
would you like to know anything else about it?,4
do you have any other questions i can help you with?,4
can i answer anything else for you about the hotel?,4
would you like to know more about them or have me look into another place?,4
would you like to check out some other places?,4
do you have any other questions for me?,4
would you like to book a table there?,4
want to know anything else?,4
can i assist you with anything else?,4
do you want any more information?,4
would you like me to find a place that does?,4
may i help you with anything else?,4
