,turn_nr,dialogue_act_history,question,question_dialogue_act,reference_length,reference_response,reference_response_summary,reference_response_question,ref_knowledge,ref_know_nr,reference_domain,reference_doc_type,prediction_length,prediction_response,pred_know_nr,prediction_domain,prediction_doc_type,bleu,meteor,rouge1,rouge2,rougeL
0,5,"['command', 'statement', 'open_question_opinion', 'command', 'statement']",I have back issues. Does this place have comfortable beds?,statement,137,The Bridge Guest House is known for having pretty uncomfortable beds according to most guests. Only one guest found it to be comfortable.,The Bridge Guest House is known for having pretty uncomfortable beds according to most guests.. Only one guest found it to be comfortable.,,"['The room was clean and comfortable and not expensive.', 'It could ruin your stay if you mind that kind of thing.', ""Sadly though, I found that the bed in the room wasn't very comfortable at all."", 'I do have to say, though, the bed is extremely uncomfortable.', 'and the interior of the room was very good and bed was also very much comfortable.']",5,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,9,"['yes_no_question', 'statement', 'statement', 'statement', 'command', 'statement', 'command', 'open_question_opinion', 'yes_no_question']",Do they have nice outdoor dining area?,yes_no_question,103,The Curry Garden has a patio outside that guests say they enjoy. Do you want to make a reservation now?,The Curry Garden has a patio outside that guests say they enjoy.,Do you want to make a reservation now?,"['The staff was nice enough however and we had a good time in the outdoor dining area which had a great view of the mountains.', 'Did I tell you we ate outside in their patio area?', 'It was also nice to just sit there since they had an outdoor dining area.', 'The outdoor dining area is so nice.']",5,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,7,"['opinion', 'statement', 'pos_answer', 'statement', 'statement', 'command', 'yes_no_question']",Do you know if the Bridge Guest House has cozy beds?,yes_no_question,105,Some of the past guests say that the bed is really comfortable while others say it is very uncomfortable.,Some of the past guests say that the bed is really comfortable while others say it is very uncomfortable.,,"['The room was clean and comfortable and not expensive.', 'It could ruin your stay if you mind that kind of thing.', ""Sadly though, I found that the bed in the room wasn't very comfortable at all."", 'I do have to say, though, the bed is extremely uncomfortable.', 'and the interior of the room was very good and bed was also very much comfortable.']",5,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,13,"['statement', 'open_question_factual', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'statement', 'command', 'opinion', 'yes_no_question']","Is the staff friendly, polite, and responsive?",yes_no_question,168,"The Alexanders gets some good reviews for the staff. Guests have said they're a joy to interact with, very friendly and helpful. Would you like to know more about them?","The Alexanders gets some good reviews for the staff.. Guests have said they're a joy to interact with, very friendly and helpful.",Would you like to know more about them?,"['The B&B is pretty quiet and well appointed, and the staff goes out of their way to be friendly.', 'The staff is also a joy to interact with, one of the most important parts of any stay.', 'We were greeted with very friendly staff.']",3,hotel,review,empty,empty,empty,empty,empty,0.0,0.01723518850987433,0.0,0.0,0.0
0,7,"['yes_no_question', 'command', 'opinion', 'statement', 'command', 'statement', 'command']",Before you do that can you confirm whether Kymmoy offers good views?,command,111,Yes they do have an incredible view which is amazing .The location is also nice and they do have amazing décor.,Yes they do have an incredible view which is amazing .The. location is also nice and they do have amazing décor.,,"['The view was very nice.', ""Sure, the place doesn't have a great view or amazing decor, but go for the food and you won't be disappointed!"", ""The restaurant didn't have any open windows which was a bummer, couldn't see anything because it was all curtained up."", 'The restaurant had authentic, Oriental decorations inside, and the windows offered a breathtaking view of the nearby lake.', 'However, the view from the restaurant is just okay.', 'The restaurant was in a great location in town, but from our seat we had a below average view of the outdoors.']",6,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,3,"['statement', 'statement', 'open_question_factual']",Do they offer great service?,open_question_factual,226,Bangkok City has some mixed reviews about their service. Some say their staff is courteous and attentive while others say they need more training and it was difficult to get drinks. Would you like to know more about the place?,Bangkok City has some mixed reviews about their service.. Some say their staff is courteous and attentive while others say they need more training and it was difficult to get drinks.,Would you like to know more about the place?,"['The nice view from our window seats was a nice little bonus, and the attentive and courteous attention we received from the wait staff was very warm and welcoming.', 'Teach your servers how to upsell the drinks!', 'However the service never asked me if I wanted a drink or not.', 'Our waitress was nice enough but obviously new and needed more training.', 'The food was good, the location is superb and the service was top-notched.']",5,restaurant,review,empty,empty,empty,empty,empty,0.0,0.013521126760563383,0.0,0.0,0.0
0,5,"['statement', 'statement', 'opinion', 'opinion', 'yes_no_question']",Are they easy to get to and in a convenient location?,yes_no_question,102,The Bedouin has a poor location according to one customer. Do you want to know anything else about it?,The Bedouin has a poor location according to one customer.,Do you want to know anything else about it?,"[""Being nearby, it's not in the best location, since it's in a not so busy town.""]",1,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,11,"['statement', 'statement', 'statement', 'statement', 'complaint', 'complaint', 'statement', 'statement', 'yes_no_question', 'command', 'yes_no_question']",Can you tell me if the staff there are nice and welcoming?,yes_no_question,139,Some of the guests of The Cambridge Belfry said that the staff was unfriendly and rude while others say that the staff was polite and kind.,Some of the guests of The Cambridge Belfry said that the staff was unfriendly and rude while others say that the staff was polite and kind.,,"['The receptionist was super nice and answered all our questions.', 'The staff was polite they took out luggage to our room, and our room had a spectacular view of the forest and nature.', 'Also the staff was way too unprofessional when I had my dealings with them.', 'However, the staff at this hotel treated my family poorly.']",4,hotel,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
0,5,"['statement', 'statement', 'opinion', 'open_question_opinion', 'statement']",The place has a friendly staff right?,statement,101,Lovell Lodge has friendly staff that is kind and respectful. Do you want to book a reservation there?,Lovell Lodge has friendly staff that is kind and respectful.,Do you want to book a reservation there?,"['I loved the quiet room and the friendly staff who went out of their way to help us.', 'The staff was nice and helpful.', 'The staff was friendly which made me feel comfortable and welcomed.', 'While at this location, I noticed that the staff was extremely kind and respectful to both of us.']",4,hotel,review,empty,empty,empty,empty,empty,0.0,0.027866473149492022,0.0,0.0,0.0
0,5,"['command', 'statement', 'command', 'opinion', 'yes_no_question']",Do they have an attractive interior decor?,yes_no_question,109,"I only have one opinion and according to this opinion, the restaurant is nice inside, and it has a nice view.","I only have one opinion and according to this opinion, the restaurant is nice inside, and it has a nice view.",,['The restaurant is nice inside and the view is worthwhile.'],1,restaurant,review,empty,empty,empty,empty,empty,0.0,0.0,0.0,0.0,0.0
