reference_response_question,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
.would you like to make a reservation?,0.0,0.0,0.0,0.0,0.0,1
"according to past customers the autumn house does provide large spacious rooms, anything else you would like to know?",0.0,0.0,0.0,0.0,0.0,1
according to reviews of the hobson house the rooms are quite small would you like to make a booking somewhere else?,0.0,0.0,0.0,0.0,0.0,1
"according to the reviews that i have on hand for this location, the only thing i can tell you is they have a lot of imported canned milk teas if that's something you'd be interested in?",0.0,0.0,0.0,0.0,0.0,1
"although no place is completely silent, right?",0.0,0.0,0.0,0.0,0.0,1
any more information you would like to know?,0.0,0.0,0.0,0.0,0.0,1
any other questions i can answer for you?,0.0,0.0,0.0,0.0,0.0,1
anythinf else i can help you with?,0.0,0.0,0.0,0.0,0.0,1
anything else i can answer for you?,0.0,0.0,0.0,0.0,0.0,1
anything else i can assist you with?,0.0,0.0,0.0,0.0,0.0,1
anything else i can do for you?,0.0,0.0,0.0,0.0,0.0,3
anything else i can help with?,0.0,0.013597733711048164,0.0,0.0,0.0,2
anything else i can help you with?,0.0,0.0026373626373626374,0.0,0.0,0.0,8
anything else today?,0.0,0.0,0.0,0.0,0.0,1
anything else you need help with today?,0.0,0.0,0.0,0.0,0.0,1
anything else you want to know?,0.0,0.0,0.0,0.0,0.0,1
anything else you would like me to know?,0.0,0.0,0.0,0.0,0.0,1
anything else you would like to know?,0.0,0.005725783165043756,0.0,0.0,0.0,14
anything else?,0.0,0.0,0.0,0.0,0.0,2
anything you would like to know?,0.0,0.0,0.0,0.0,0.0,1
anythong else you would like to know?,0.0,0.0,0.0,0.0,0.0,1
are there any other questions about the restaurant that i can answer for you?,0.0,0.0,0.0,0.0,0.0,1
are there any other questions i can answer for you today?,0.0,0.0,0.0,0.0,0.0,1
are there any other questions that i can answer for you about nandos?,0.0,0.0,0.0,0.0,0.0,1
are there any other questions that i can answer for you about your upcoming reservation?,0.0,0.0,0.0,0.0,0.0,1
are there any other questions that i can answer for you today?,0.0,0.0,0.0,0.0,0.0,3
are there any other questions that i can answer for you?,0.0,0.0,0.0,0.0,0.0,5
are there any other questions that i can help you with today?,0.0,0.0,0.0,0.0,0.0,3
are there any other questions that i can help you with?,0.0,0.0,0.0,0.0,0.0,2
are there any other questions that i can try to answer for you at this time?,0.0,0.0,0.0,0.0,0.0,1
are there any other questions that i can try to answer for you today?,0.0,0.0,0.0,0.0,0.0,1
are there any other questions that you have about the restaurant?,0.0,0.0,0.0,0.0,0.0,3
are there any other questions that you'd like answered?,0.0,0.0,0.0,0.0,0.0,1
are there any other questions you have about your upcoming stay at this time?,0.0,0.0,0.0,0.0,0.0,1
are there any specific amenities that you require?,0.0,0.0,0.0,0.0,0.0,1
are you interested in a booking?,0.0,0.003947368421052633,0.0,0.0,0.0,4
are you interested in a reservation?,0.0,0.0,0.0,0.0,0.0,4
are you interested in a room?,0.0,0.015521742197972768,0.0,0.0,0.0,3
are you interested in a table or would you like to try another option?,0.0,0.0,0.0,0.0,0.0,1
are you interested in any other hotels in the area?,0.0,0.0,0.0,0.0,0.0,1
are you interested in booking a room there?,0.0,0.0,0.0,0.0,0.0,2
are you interested in booking a room?,0.0,0.0049612403100775205,0.0,0.0,0.0,5
are you interested in booking a stay?,0.0,0.0,0.0,0.0,0.0,1
are you interested in booking a table there?,0.0,0.0,0.0,0.0,0.0,1
are you interested in booking a table?,0.0,0.0,0.0,0.0,0.0,5
are you interested in booking or would you like another option?,0.0,0.0,0.0,0.0,0.0,1
are you interested in booking rooms for your party?,0.0,0.0,0.0,0.0,0.0,1
are you interested in changing your reservation?,0.0,0.0,0.0,0.0,0.0,1
are you interested in getting a booking or do you have any other questions?,0.0,0.0,0.0,0.0,0.0,1
are you interested in knowing any other information?,0.0,0.025363276089828274,0.0,0.0,0.0,1
are you interested in knowing anything else about the hotel?,0.0,0.024806201550387603,0.0,0.0,0.0,1
are you interested in knowing anything else or do you want a reservation?,0.0,0.0,0.0,0.0,0.0,1
are you interested in knowing anything else?,0.0,0.0,0.0,0.0,0.0,1
are you interested in making a reservation there?,0.0,0.009288824383164007,0.0,0.0,0.0,3
are you interested in making a reservation?,0.0,0.008580925822643616,0.0,0.0,0.0,5
are you interested in staying there or do you need more information?,0.0,0.023762376237623766,0.0,0.0,0.0,1
are you interested in staying there?,0.0,0.012988583423366035,0.0,0.0,0.0,8
are you interested in trying it?,0.0,0.0,0.0,0.0,0.0,1
are you interested or should i find another option?,0.0,0.0,0.0,0.0,0.0,1
are you interested or should i find you something else?,0.0,0.02033898305084746,0.0,0.0,0.0,1
are you interested?,0.0,0.0,0.0,0.0,0.0,2
are you interesting in making a reservation?,0.0,0.0,0.0,0.0,0.0,1
are you satisfied with the booking or should i check another hotel?,0.0,0.0,0.0,0.0,0.0,1
are you still interested in a booking?,0.0,0.0,0.0,0.0,0.0,1
are you still interested in a room?,0.0,0.0,0.0,0.0,0.0,1
are you still interested in booking a room?,0.0,0.0,0.0,0.0,0.0,2
