,count
"('do', 'you')",891
"('you', 'want')",466
"('want', 'to')",419
"('to', 'make')",475
"('make', 'a')",467
"('a', 'reservation')",281
"('reservation', 'now?')",13
"('would', 'you')",2659
"('you', 'like')",2613
"('like', 'to')",1745
"('to', 'know')",1018
"('know', 'more')",607
"('more', 'about')",614
"('about', 'them?')",583
"('about', 'the')",249
"('the', 'place?')",20
"('know', 'anything')",222
"('anything', 'else')",751
"('else', 'about')",106
"('about', 'it?')",37
"('to', 'book')",673
"('book', 'a')",524
"('reservation', 'there?')",82
"('reservation', 'anyway?')",5
"('a', 'room?')",159
"('like', 'me')",838
"('me', 'to')",883
"('to', 'check')",86
"('check', 'out')",66
"('out', 'some')",40
"('some', 'other')",97
"('other', 'places')",31
"('places', 'with')",27
"('with', 'better')",98
"('better', 'ratings?')",43
"('a', 'reservation?')",398
"('a', 'booking?')",57
"('to', 'search')",18
"('search', 'for')",59
"('for', 'a')",43
"('a', 'better')",30
"('better', 'decorated')",1
"('decorated', 'option')",1
"('option', 'for')",34
"('for', 'you?')",609
"('should', 'i')",246
"('i', 'check')",23
"('check', 'on')",43
"('on', 'availability')",18
"('availability', 'for')",24
"('for', 'your')",25
"('your', 'travel')",3
"('travel', 'dates?')",3
"('is', 'there')",545
"('there', 'anything')",490
"('else', 'i')",199
"('i', 'can')",320
"('can', 'help')",232
"('help', 'you')",397
"('you', 'with')",206
"('with', 'today?')",47
"('else', ""you'd"")",166
"(""you'd"", 'like')",178
"('to', 'know?')",129
"('can', 'i')",462
"('i', 'answer')",229
"('answer', 'any')",102
"('any', 'other')",441
"('other', 'questions')",224
"('questions', 'about')",133
"('the', 'guest')",7
"('guest', 'house')",8
"('house', 'for')",6
"('answer', 'anything')",126
"('anything', 'else,')",11
"('else,', 'or')",11
"('or', 'would')",68
"('book', 'it?')",116
"('to', 'find')",251
"('find', 'another')",138
"('another', 'place')",93
"('place', 'with')",110
"('better', 'reviews?')",12
"('anything', 'else?')",309
