,count
"('Do', 'you', 'want')",435
"('you', 'want', 'to')",359
"('want', 'to', 'make')",129
"('to', 'make', 'a')",440
"('make', 'a', 'reservation')",202
"('a', 'reservation', 'now?')",11
"('Would', 'you', 'like')",2497
"('you', 'like', 'to')",1505
"('like', 'to', 'know')",915
"('to', 'know', 'more')",607
"('know', 'more', 'about')",601
"('more', 'about', 'them?')",389
"('more', 'about', 'the')",62
"('about', 'the', 'place?')",20
"('want', 'to', 'know')",70
"('to', 'know', 'anything')",220
"('know', 'anything', 'else')",86
"('anything', 'else', 'about')",106
"('else', 'about', 'it?')",11
"('want', 'to', 'book')",78
"('to', 'book', 'a')",438
"('book', 'a', 'reservation')",31
"('a', 'reservation', 'there?')",81
"('a', 'reservation', 'anyway?')",5
"('like', 'to', 'book')",308
"('book', 'a', 'room?')",104
"('you', 'like', 'me')",827
"('like', 'me', 'to')",836
"('me', 'to', 'check')",73
"('to', 'check', 'out')",38
"('check', 'out', 'some')",40
"('out', 'some', 'other')",39
"('some', 'other', 'places')",28
"('other', 'places', 'with')",25
"('places', 'with', 'better')",24
"('with', 'better', 'ratings?')",43
"('like', 'to', 'make')",191
"('make', 'a', 'reservation?')",206
"('make', 'a', 'booking?')",43
"('me', 'to', 'search')",16
"('to', 'search', 'for')",18
"('search', 'for', 'a')",20
"('for', 'a', 'better')",12
"('a', 'better', 'decorated')",1
"('better', 'decorated', 'option')",1
"('decorated', 'option', 'for')",1
"('option', 'for', 'you?')",34
"('Should', 'I', 'check')",3
"('I', 'check', 'on')",12
"('check', 'on', 'availability')",18
"('on', 'availability', 'for')",15
"('availability', 'for', 'your')",7
"('for', 'your', 'travel')",3
"('your', 'travel', 'dates?')",3
"('Is', 'there', 'anything')",487
"('there', 'anything', 'else')",485
"('anything', 'else', 'I')",180
"('else', 'I', 'can')",196
"('I', 'can', 'help')",229
"('can', 'help', 'you')",223
"('help', 'you', 'with')",201
"('you', 'with', 'today?')",43
"('anything', 'else', ""you'd"")",165
"('else', ""you'd"", 'like')",166
"(""you'd"", 'like', 'to')",173
"('like', 'to', 'know?')",83
"('Can', 'I', 'answer')",223
"('I', 'answer', 'any')",102
"('answer', 'any', 'other')",87
"('any', 'other', 'questions')",218
"('other', 'questions', 'about')",113
"('questions', 'about', 'the')",73
"('about', 'the', 'guest')",7
"('the', 'guest', 'house')",2
"('guest', 'house', 'for')",2
"('house', 'for', 'you?')",2
"('I', 'answer', 'anything')",125
"('answer', 'anything', 'else,')",9
