,question,turn_nr,reference_response,reference_length,ref_know_nr,reference_domain,reference_doc_type,prediction_response,prediction_length,pred_know_nr,prediction_domain,prediction_doc_type,bleu,meteor,rouge1,rouge2,rougeL,dialogue_act_history
0,Are their bathrooms adequately sanitized?,5,"Yes, most of the guests at Hobsons House have rated the bathrooms very high on cleanliness, although there is at least one report of stray hairs in the bathroom.",161,3,hotel,review,"According to the reviews I have on hand for that location, the opinions are mostly positive.  Only one quarter found the bathrooms not well cleaned, while three quarters found them pristine and top notch.",204,3,hotel,review,0.028982679667979298,0.0981914384145655,0.22222222222222224,0.03278688524590164,0.19047619047619047,"['command', 'opinion', 'opinion', 'statement', 'yes_no_question']"
1,Could you confirm that Maharajah Tandoori Restaurant has modern or fun décor?,11,"Yes, I can do that for you. It looks like the decor at the Maharajah Tandoori Restaurant attempts to transport you to India, so it is themed for the cuisine served there.",170,2,restaurant,review,"The Maharajah Tandoori Restaurant has modern or fun décor according to two guests, but one person said it seemed weird.",119,2,restaurant,review,0.04205318572408421,0.1244464014384535,0.22641509433962265,0.11764705882352941,0.22641509433962265,"['opinion', 'command', 'opinion', 'statement', 'statement', 'statement', 'command', 'statement', 'statement', 'statement', 'yes_no_question']"
2,"I need a quiet room, does the hotel have a good policy on loud noise?",5,"I'm not sure about a policy, but recent guests were pleased with how quiet the Ashley was. When would you like to stay?",119,4,hotel,review,The Ashley Hotel is very quiet according to most guests. Only one person complained about loud noises during their stay.,120,4,hotel,review,0.02342396931126378,0.16056473974102167,0.31818181818181823,0.04761904761904762,0.1818181818181818,"['command', 'open_question_factual', 'opinion', 'command', 'yes_no_question']"
3,Do you know anything about the views from the rooms as I hope to have a nice view?,3,"Yes, the rooms at the Cambridge Belfry have very nice views. Can I answer anything else, or would you like to book it?",118,2,hotel,review,The Cambridge Belfry has a spectacular view of the mountains from the balcony. Would you like me to book a room for you?,120,3,hotel,review,0.054725383866733306,0.19507866700512444,0.4782608695652174,0.22727272727272727,0.391304347826087,"['statement', 'statement', 'command']"
4,I really want a spot with a good location.,7,"People are very happy with the location of the slug and lettuce, but while most people also like the location of the Backstreet bistro, there are comments that it's out of the way.",180,6,restaurant,review,The Backstreet Bistro is in a great location close to the main streets. Would you like me to make a reservation for you?,120,6,restaurant,review,0.014505492997811975,0.13415223216081015,0.2105263157894737,0.07272727272727272,0.14035087719298242,"['statement', 'opinion', 'opinion', 'statement', 'open_question_opinion', 'opinion', 'opinion']"
5,Are their rooms clean?,3,Rosa's Bed and Breakfast has one review that says the room was really clean and the housekeeping did an exceptional job.,120,1,hotel,review,"Yes, the rooms at Rosa's Bed and Breakfast are clean. Past guests have said that the rooms were cleaned to an exceptional degree.",129,1,hotel,review,0.12514328743841557,0.24686289255775645,0.5217391304347826,0.2727272727272727,0.4782608695652174,"['statement', 'statement', 'yes_no_question']"
6,Do they have a nice selection of non-alcoholic drinks?,7,Efe's Restaurant has great reviews on the non alcoholic drink options and the Anatolia has mixed reviews with one guest saying the drinks for kids were limited. Would you like to know more about either of them?,210,3,restaurant,review,"The Efes Restaurant has a lot of non-alcoholic drink options, while the Anatolia has a limited selection. Would you like me to make a booking at one?",149,4,restaurant,review,0.11137461422271906,0.23821769839960197,0.5454545454545454,0.25,0.45454545454545453,"['statement', 'statement', 'open_question_factual', 'statement', 'command', 'command', 'command']"
7,Is there a big room available?,5,"It is not clear if there is a big room available, but one customer said the room they got was spacious while another said the one they got was cramped.",151,2,hotel,review,"According to the reviews I have on hand for that location, the opinions are mixed.  Half found the rooms spacious and half found them cramped and small.",152,2,hotel,review,0.018177309069695165,0.12699351595781805,0.17543859649122806,0.03636363636363637,0.14035087719298248,"['statement', 'statement', 'yes_no_question', 'statement', 'open_question_factual']"
8,Yes but would it happen to have sanitized and clean bathrooms as well?,11,"According to the reviews I have on hand for that location, the bathrooms have been described as sanitary and impressively clean!",128,2,hotel,review,The Allenbell has super-clean and sanitary bathrooms according to guests. Would you like to book a room there?,110,2,hotel,review,0.023305025167765562,0.14691422962856648,0.35,0.052631578947368425,0.1,"['open_question_opinion', 'opinion', 'opinion', 'command', 'command', 'command', 'opinion', 'open_question_opinion', 'opinion', 'opinion', 'pos_answer']"
9,Do they have sanitary restrooms?,7,"According to the reviews that I have on hand for that location, the opinions are mxed.  One third thought they were not well cleaned, while two thirds thought they were top notch and pristine.",192,3,hotel,review,The Hobsons House has really clean bathrooms according to guests. Would you like to know more about them?,105,2,hotel,review,0.00925702029626254,0.04437463540195242,0.15384615384615383,0.04,0.07692307692307691,"['command', 'statement', 'thanking', 'statement', 'command', 'command', 'yes_no_question']"
