reference_response_question_start,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
.would you like to make,0.0,0.0,0.0,0.0,0.0,1
according to past customers the,0.0,0.0,0.0,0.0,0.0,1
according to reviews of the,0.0,0.0,0.0,0.0,0.0,1
according to the reviews that,0.0,0.0,0.0,0.0,0.0,1
although no place is completely,0.0,0.0,0.0,0.0,0.0,1
any more information you would,0.0,0.0,0.0,0.0,0.0,1
any other questions i can,0.0,0.0,0.0,0.0,0.0,1
anythinf else i can help,0.0,0.0,0.0,0.0,0.0,1
anything else i can answer,0.0,0.0,0.0,0.0,0.0,1
anything else i can assist,0.0,0.0,0.0,0.0,0.0,1
anything else i can do,0.0,0.0,0.0,0.0,0.0,3
anything else i can help,0.0,0.004829436852099743,0.0,0.0,0.0,10
anything else today?,0.0,0.0,0.0,0.0,0.0,1
anything else you need help,0.0,0.0,0.0,0.0,0.0,1
anything else you want to,0.0,0.0,0.0,0.0,0.0,1
anything else you would like,0.0,0.005344064287374173,0.0,0.0,0.0,15
anything else?,0.0,0.0,0.0,0.0,0.0,2
anything you would like to,0.0,0.0,0.0,0.0,0.0,1
anythong else you would like,0.0,0.0,0.0,0.0,0.0,1
are there any other questions,0.0,0.0,0.0,0.0,0.0,24
are there any specific amenities,0.0,0.0,0.0,0.0,0.0,1
are you interested in a,0.0,0.005196225023177403,0.0,0.0,0.0,12
are you interested in any,0.0,0.0,0.0,0.0,0.0,1
are you interested in booking,0.0,0.0015503875968992252,0.0,0.0,0.0,16
are you interested in changing,0.0,0.0,0.0,0.0,0.0,1
are you interested in getting,0.0,0.0,0.0,0.0,0.0,1
are you interested in knowing,0.0,0.01254236941005397,0.0,0.0,0.0,4
are you interested in making,0.0,0.008846387782838763,0.0,0.0,0.0,8
are you interested in staying,0.0,0.014185671513839114,0.0,0.0,0.0,9
are you interested in trying,0.0,0.0,0.0,0.0,0.0,1
are you interested or should,0.0,0.01016949152542373,0.0,0.0,0.0,2
are you interested?,0.0,0.0,0.0,0.0,0.0,2
are you interesting in making,0.0,0.0,0.0,0.0,0.0,1
are you satisfied with the,0.0,0.0,0.0,0.0,0.0,1
are you still interested in,0.0,0.0015911162675064227,0.0,0.0,0.0,11
are you still interested or,0.0,0.004560570071258908,0.0,0.0,0.0,5
"are you still interested, or",0.0,0.0030141287284144425,0.0,0.0,0.0,7
are you still interested?,0.0,0.0,0.0,0.0,0.0,6
can i answer any additional,0.0,0.003256997455470739,0.0,0.0,0.0,9
can i answer any more,0.0,0.0,0.0,0.0,0.0,6
can i answer any other,0.0,0.0008827483030606818,0.0,0.0,0.0,85
can i answer anything else,0.0,0.001356273430998776,0.0,0.0,0.0,94
"can i answer anything else,",0.0,0.002483507954986419,0.0,0.0,0.0,9
