target,turn_nr,dialogue_act_history,user_utterance,user_utterance_dialogue_act,ref_domain,ref_doc_type,ref_knowledge,ref_know_nr,ref_know_sentiment,ref_know_avg_sentiment,ref_response,ref_response_length,ref_response_sent_nr,ref_response_summary,ref_response_summary_sentiment,ref_response_question,target,pred_domain,pred_doc_type,pred_knowledge,pred_know_nr,pred_know_sentiment,pred_know_avg_sentiment,pred_response,pred_response_length,pred_response_sent_nr,pred_response_summary,pred_response_summary_sentiment,pred_response_question,bleu,meteor,rouge1,rouge2,rougeL,appropriateness,relevance
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
True,5.0,"['command', 'opinion', 'opinion', 'statement', 'yes_no_question']",Are their bathrooms adequately sanitized?,yes_no_question,hotel,review,"['I also saw some hairs in the bathroom, which was evidently not well cleaned.', 'Upon using the bathroom facilities, we all saw that they were pristine and it looks like they had been recently cleaned.', 'The view from the room was also amazing, and the cleanliness of the bathroom was top notch.']",3.0,"[-0.125, 0.0, 0.55]",0.1416666666666667,"Yes, most of the guests at Hobsons House have rated the bathrooms very high on cleanliness, although there is at least one report of stray hairs in the bathroom.",161.0,1.0,Yes.  most of the guests at Hobsons House have rated the bathrooms very high on cleanliness.  although there is at least one report of stray hairs in the bathroom.,0.1359999999999999,,True,hotel,review,"['The view from the room was also amazing, and the cleanliness of the bathroom was top notch.', 'Upon using the bathroom facilities, we all saw that they were pristine and it looks like they had been recently cleaned.', 'I also saw some hairs in the bathroom, which was evidently not well cleaned.']",3,"[0.55, 0.0, -0.125]",0.1416666666666667,"

The Hobsons House has 3 stars and meets your criteria. The bathroom is clean and well-maintained.",99,2,"

The Hobsons House has 3 stars and meets your criteria.. The bathroom is clean and well-maintained.",0.3666666666666667,,0.024814312101255,0.11063307817396008,0.2608695652173913,0.09090909090909091,0.2608695652173913,,
True,11.0,"['opinion', 'command', 'opinion', 'statement', 'statement', 'statement', 'command', 'statement', 'statement', 'statement', 'yes_no_question']",Could you confirm that Maharajah Tandoori Restaurant has modern or fun décor?,yes_no_question,restaurant,review,"['First thing is first, the d√©cor in the restaurant really transport you to India.', ""I absolutely loved that I felt like I wasn't in my own backyard.""]",2.0,"[0.2333333333333333, 0.6499999999999999]",0.4416666666666666,"Yes, I can do that for you. It looks like the decor at the Maharajah Tandoori Restaurant attempts to transport you to India, so it is themed for the cuisine served there.",170.0,2.0,"Yes, I can do that for you.. It looks like the decor at the Maharajah Tandoori Restaurant attempts to transport you to India, so it is themed for the cuisine served there.",0.0,,True,restaurant,review,"['First thing is first, the d√©cor in the restaurant really transport you to India.', 'It seemed weird but really worked out well.']",2,"[0.2333333333333333, -0.15]",0.04166666666666666,"

Yes, Maharajah Tandoori Restaurant has modern or fun décor.",61,1,"

Yes.  Maharajah Tandoori Restaurant has modern or fun décor.",0.25,,0.018916745392197277,0.11500215422721509,0.19047619047619047,0.09999999999999999,0.19047619047619047,,
True,5.0,"['command', 'open_question_factual', 'opinion', 'command', 'yes_no_question']","I need a quiet room, does the hotel have a good policy on loud noise?",yes_no_question,hotel,review,"['This place definitely delivered in that regard.', 'There was no more than a few noises I heard during my entire stay, I was able to keep my head clear.', ""I stayed here with my family, and we were able to get a good night's rest, as it was very quiet."", ""I mean they are like home comfortable, and also it's very quiet so we didn't have to worry about any loud noises.""]",4.0,"[0.0, 0.030000000000000006, 0.39999999999999997, 0.04687500000000001]",0.11921875,"I'm not sure about a policy, but recent guests were pleased with how quiet the Ashley was. When would you like to stay?",119.0,2.0,"I'm not sure about a policy, but recent guests were pleased with how quiet the Ashley was.",0.0625,When would you like to stay?,True,hotel,review,"[""I mean they are like home comfortable, and also it's very quiet so we didn't have to worry about any loud noises."", 'There was no more than a few noises I heard during my entire stay, I was able to keep my head clear.', ""I stayed here with my family, and we were able to get a good night's rest, as it was very quiet."", 'I had a nearby business venture in the area so I was mainly looking for a quiet place to rest my head.']",4,"[0.04687500000000001, 0.030000000000000006, 0.39999999999999997, 0.08333333333333333]",0.14005208333333333,"

Yes, the Ashley Hotel is a quiet place to stay with free wifi. You may book a room online or by calling the hotel directly.",125,2,"

Yes, the Ashley Hotel is a quiet place to stay with free wifi.. You may book a room online or by calling the hotel directly.",0.16666666666666666,,0.04625799890348224,0.13800086507101866,0.32653061224489793,0.0851063829787234,0.16326530612244897,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
True,3.0,"['statement', 'statement', 'command']",Do you know anything about the views from the rooms as I hope to have a nice view?,command,hotel,review,"['One of the best things about the hotel is the view of the mountains from the balcony.', 'The staff was polite they took out luggage to our room, and our room had a spectacular view of the forest and nature.']",2.0,"[1.0, 0.6]",0.8,"Yes, the rooms at the Cambridge Belfry have very nice views. Can I answer anything else, or would you like to book it?",118.0,2.0,"Yes, the rooms at the Cambridge Belfry have very nice views.",0.78,"Can I answer anything else, or would you like to book it?",True,hotel,review,"['One of the best things about the hotel is the view of the mountains from the balcony.', 'The staff was polite they took out luggage to our room, and our room had a spectacular view of the forest and nature.', 'The view out of the room and the plethora of options for breakfast were the highlights.']",3,"[1.0, 0.6, 0.0]",0.5333333333333333,"

The Cambridge Belfry Hotel is located in the west and has 4 stars. It has free internet and parking. The hotel has a great view of the mountains from the balcony. The staff is polite and the breakfast options are plentiful.",225,4,"

The Cambridge Belfry Hotel is located in the west and has 4 stars.. It has free internet and parking.. The hotel has a great view of the mountains from the balcony.. The staff is polite and the breakfast options are plentiful.",0.6000000000000001,,0.020446749214858784,0.11272994406444287,0.1875,0.06451612903225806,0.12500000000000003,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
False,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,
