ref_response_question,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
 is there anything else you would like to know to narrow down your options?,0.0194607834450331,0.1060300031941779,0.1818181818181818,0.0,0.1363636363636363,1
 will that be enough variety for you or would you like to look at some other options?,0.0127908717097987,0.149734486821412,0.2608695652173913,0.0,0.2028985507246377,1
 would you like to book a reservation or explore other options?,0.0575546532465721,0.2430949265622969,0.4,0.2068965517241379,0.3666666666666666,1
 would you like to book a room there tonight?,0.032674392554094,0.1702899711639701,0.3333333333333333,0.1034482758620689,0.2333333333333333,1
 would you like to book a room?,0.1748045095745732,0.2445667511225013,0.3571428571428571,0.2592592592592592,0.3214285714285714,1
 would you like to make a reservation?,0.0415415847665368,0.2229705724321458,0.3157894736842105,0.1818181818181818,0.2807017543859649,1
anything else i can help you with?,0.02400655494353035,0.09939957241604111,0.28521652563464406,0.03377659574468085,0.18740666998506716,2
anything else you would like to know?,0.0145003723283652,0.1131641039822594,0.1785714285714285,0.074074074074074,0.1785714285714285,1
anything else you'd like to know about the ashley hotel?,0.0310415054109461,0.2023252737297043,0.3225806451612903,0.0999999999999999,0.1612903225806451,1
anything else?,0.0598327875257124,0.1803858615508631,0.3684210526315788,0.1111111111111111,0.3157894736842105,1
are there any other questions about the guest house that i can answer for you?,0.0327014494821932,0.2578699059851133,0.4210526315789473,0.1666666666666666,0.3157894736842105,1
are there any other questions i can help you with?,0.0093505598995085,0.155335781213172,0.2857142857142857,0.048780487804878,0.1428571428571428,1
are there any other questions that you have about the restaurant?,0.031787439080807,0.1317343435651037,0.2465753424657534,0.0845070422535211,0.1917808219178082,1
are there any other questions you have about da vinci pizzeria?,0.0608205531062811,0.1887605214124997,0.3773584905660377,0.0784313725490196,0.1886792452830188,1
are you interested in a booking?,0.0105302772554008,0.160159392838397,0.2439024390243902,0.025,0.1463414634146341,1
"are you interested in a room, or should i search for a better value?",0.0119484599226278,0.1539462707016821,0.2222222222222222,0.017391304347826,0.1196581196581196,1
are you interested in a room?,0.0538437649602485,0.2298375139932341,0.3333333333333333,0.1842105263157894,0.2051282051282051,1
are you interested in booking a room for a day other than thursday?,0.0231896197386927,0.1459643974583317,0.2558139534883721,0.0476190476190476,0.2093023255813953,1
are you interested in booking it?,0.0530245541269184,0.173695569677472,0.2941176470588235,0.1212121212121212,0.2058823529411764,1
are you ready to book a reservation?,0.0310186302993101,0.165493985716961,0.2857142857142857,0.1111111111111111,0.25,1
can i answer any additional questions about the restaurant for you?,0.008005723528087,0.1053815261044176,0.1758241758241758,0.0,0.1098901098901098,1
can i answer any additional questions before booking?,0.0574408881604423,0.1678224022736259,0.303030303030303,0.064516129032258,0.2424242424242424,1
can i answer any additional questions for you about this location?,0.0201938559742173,0.1174773536817024,0.2608695652173913,0.0,0.1304347826086956,1
can i answer any more questions about this location?,0.0267842546087828,0.0750752022057094,0.25,0.0,0.0999999999999999,1
can i answer any more questions for you about rosa's?,0.010751538164669,0.1245723419682139,0.2222222222222222,0.0285714285714285,0.1111111111111111,1
can i answer any other questions before booking that for you?,0.06586656967644,0.1275251571797232,0.1951219512195122,0.1025641025641025,0.1951219512195122,1
can i answer any other questions for you about the cambridge belfry?,0.0257912492034243,0.1653272196552384,0.3076923076923076,0.0952380952380952,0.2153846153846153,1
can i answer any other questions for you about the guest house?,0.0089426709579897,0.1137876380548255,0.2,0.0256410256410256,0.125,1
can i answer any other questions for you today?,0.0451670560886273,0.1351990863176678,0.2631578947368421,0.0,0.2105263157894737,1
can i answer any other questions for you?,0.049444881650361504,0.10344427198485451,0.20462464364903388,0.04841269841269837,0.17287861190300213,3
can i answer any other questions you might have about the hotel?,0.031580920424837,0.2232550354964559,0.32,0.0,0.2,1
"can i answer any other questions, or should i go ahead and book it?",0.0190519403328109,0.1310262125654998,0.1714285714285714,0.0294117647058823,0.1142857142857142,1
can i answer anything else about eraina for you?,0.0173456179456365,0.0808905783328808,0.1224489795918367,0.0,0.0816326530612244,1
can i answer anything else about the guest house?,0.0758113883189395,0.16474929536209,0.3555555555555555,0.1395348837209302,0.2222222222222222,1
can i answer anything else about the hotel for you?,0.0634263969091454,0.1519313429011919,0.2823785803237858,0.141851106639839,0.223225404732254,2
can i answer anything else about the nirala for you?,0.0219709004647824,0.0435374149659864,0.1333333333333333,0.0,0.1333333333333333,1
can i answer anything else about the restaurant for you?,0.0454630871340457,0.1167550070096613,0.3243243243243243,0.0,0.2162162162162162,1
can i answer anything else about the restaurant or help you with another booking?,0.0244219396525393,0.1351406620541017,0.3055555555555556,0.0285714285714285,0.1666666666666666,1
can i answer anything else about this location?,0.0339226878079267,0.1573018582266434,0.2553191489361702,0.0444444444444444,0.1702127659574468,1
can i answer anything else for you or would you like to reserve it?,0.0237686564736811,0.1522302427836915,0.3076923076923076,0.0634920634920634,0.1538461538461538,1
"can i answer anything else for you today, or make another reservation?",0.0432030486999887,0.1588749178752108,0.1951219512195122,0.0,0.1951219512195122,1
can i answer anything else for you?,0.04807489331867357,0.1341481403988418,0.2518507402961184,0.036406619385342766,0.18297318927571027,3
can i answer anything else or book a table for you?,0.0964568268552255,0.1618438506529648,0.225,0.1282051282051282,0.175,1
can i answer anything else or shall i book a room for you?,0.103550520221014,0.2147118557602749,0.4705882352941177,0.1874999999999999,0.3529411764705882,1
can i answer anything else or shall i book it for you?,0.1212863299022327,0.2358176457745247,0.358974358974359,0.2162162162162162,0.358974358974359,1
can i answer anything else or would you like to book a room?,0.016934096677198,0.0940741731888811,0.2083333333333333,0.0869565217391304,0.1666666666666666,1
can i answer anything else or would you like to book it?,0.010673085009757,0.1343290451830408,0.1495327102803738,0.0,0.1121495327102803,1
"can i answer anything else, or shall i book you a room?",0.0569592847656628,0.1132400168866198,0.2448979591836734,0.0425531914893617,0.2040816326530612,1
"can i answer anything else, or shall i reserve a room for you?",0.0231948108128267,0.0997159380955745,0.2285714285714286,0.0,0.1714285714285714,1
"can i answer anything else, or would you like to book it?",0.1000100025007502,0.164341466761643,0.273972602739726,0.1408450704225352,0.2191780821917808,1
"can i answer anything else, or would you like to reserve a room?",0.0565754836982361,0.1643212690478688,0.2702702702702702,0.0555555555555555,0.2162162162162162,1
can i answer anything else?,0.02955934902710336,0.12185956577576033,0.22634835752482804,0.04144045163283402,0.1200729423082364,5
can i book a room for you there?,0.0315686181078602,0.1435041700829376,0.3333333333333333,0.0869565217391304,0.1666666666666666,1
can i book you a room?,0.04851037397304445,0.163450638402525,0.3781676413255361,0.0919580419580419,0.23294346978557506,2
can i check on room availability for you?,0.0515824999826542,0.0923089016972521,0.2777777777777778,0.0,0.1666666666666666,1
can i get you any additional information about the acorn guest house?,0.0610643277435554,0.1611351225254607,0.25,0.1304347826086956,0.25,1
can i go ahead and book it for you?,0.0727192543622217,0.1573952478568568,0.3529411764705882,0.1875,0.2941176470588235,1
can i help with anything else?,0.1220128922601339,0.2944739068184496,0.4507042253521127,0.2608695652173913,0.3098591549295775,1
can i help you answer any other questions about the establishment?,0.1059786102229136,0.215768285959462,0.3125,0.1935483870967741,0.28125,1
can i help you with any other information today?,0.1346032804600924,0.1713475861803612,0.3448275862068966,0.1428571428571428,0.3103448275862068,1
can i help you with anything else today or answer anything else about the restaurant?,0.0343523769203402,0.1406488685298038,0.2142857142857142,0.074074074074074,0.1785714285714285,1
can i help you with anything else today?,0.05121794374678413,0.15960149288539383,0.306361487212551,0.11107697559310457,0.22845476036965398,3
can i help you with anything else?,0.04556055899474662,0.1531881264579473,0.2831640836132705,0.08131556502577172,0.20775960837229615,15
can i make a reservation for you?,0.0683494397988036,0.2882974473297171,0.3132530120481928,0.1975308641975308,0.2891566265060241,1
can i provide you with any other information about alexander bed and breakfast?,0.0400507633159231,0.2241699925904029,0.3448275862068966,0.087719298245614,0.1896551724137931,1
care to see them yourself?,0.0248217913905408,0.159651326336956,0.3188405797101449,0.0298507462686567,0.2318840579710145,1
could i be of further assistance?,0.0162075257381391,0.0703321673970755,0.2608695652173913,0.0,0.144927536231884,1
could i book you a table?,0.0246803012411914,0.054533635343779,0.1395348837209302,0.0,0.1395348837209302,1
could i help you with anything else?,0.0153423331648106,0.1376851879784372,0.2307692307692307,0.0,0.1153846153846153,1
do want to book a room?,0.0537691138318953,0.219312193782828,0.3050847457627118,0.1403508771929824,0.2711864406779661,1
