ref_response_question,avg_bleu,avg_meteor,avg_rouge1,avg_rouge2,avg_rougeL,num_samples
 is there anything else you would like to know to narrow down your options?,0.0660969322241336,0.1343648473303575,0.4186046511627906,0.097560975609756,0.2790697674418604,1
 will that be enough variety for you or would you like to look at some other options?,0.0208994102460842,0.0938321347808802,0.28,0.0,0.16,1
 would you like to book a reservation or explore other options?,0.0635511871430441,0.233275555063492,0.4390243902439024,0.1025641025641025,0.2926829268292683,1
 would you like to book a room there tonight?,0.098656375176912,0.1689390038766545,0.3529411764705882,0.1224489795918367,0.2745098039215686,1
 would you like to book a room?,0.0757573122515896,0.1254813670192153,0.3720930232558139,0.048780487804878,0.3255813953488372,1
 would you like to make a reservation?,0.044499459571707,0.2225651081367195,0.4390243902439024,0.1538461538461538,0.3902439024390244,1
anything else i can help you with?,0.0312848291226806,0.09840804034383985,0.29292929292929293,0.0476190476190476,0.24797979797979794,2
anything else you would like to know?,0.0204294603956849,0.1101108018231247,0.2083333333333333,0.0869565217391304,0.1666666666666666,1
anything else you'd like to know about the ashley hotel?,0.0450455673715365,0.1633460756241852,0.3,0.1052631578947368,0.25,1
anything else?,0.0307874605056233,0.1443960907108587,0.2448979591836734,0.0425531914893617,0.1632653061224489,1
are there any other questions about the guest house that i can answer for you?,0.0383034407596632,0.242786596204913,0.4888888888888889,0.1395348837209302,0.3111111111111111,1
are there any other questions i can help you with?,0.0489986450084787,0.1275139685950173,0.3111111111111111,0.0930232558139534,0.2666666666666666,1
are there any other questions that you have about the restaurant?,0.0393172611801817,0.1119183026217322,0.2857142857142857,0.0425531914893617,0.2040816326530612,1
are there any other questions you have about da vinci pizzeria?,0.071486836822818,0.2221923535183221,0.4081632653061225,0.0851063829787234,0.2040816326530612,1
are you interested in a booking?,0.0451670560886273,0.1175237983313843,0.2564102564102564,0.054054054054054,0.1538461538461538,1
"are you interested in a room, or should i search for a better value?",0.0180486957662998,0.0842930366830578,0.1481481481481481,0.0,0.1111111111111111,1
are you interested in a room?,0.1352328506650154,0.3057674300029216,0.4545454545454545,0.2857142857142857,0.4545454545454545,1
are you interested in booking a room for a day other than thursday?,0.081706211573643,0.205800774639721,0.4761904761904761,0.25,0.4285714285714286,1
are you interested in booking it?,0.1733705613469748,0.1811069808615452,0.4,0.2105263157894737,0.4,1
are you ready to book a reservation?,0.1075467277016126,0.1489714032190026,0.2727272727272727,0.1428571428571428,0.2727272727272727,1
can i answer any additional questions about the restaurant for you?,0.0226089144491383,0.0975193543890056,0.2272727272727272,0.0,0.1818181818181818,1
can i answer any additional questions before booking?,0.2297523682812302,0.2449571852296405,0.3999999999999999,0.2424242424242424,0.3999999999999999,1
can i answer any additional questions for you about this location?,0.0343581200245984,0.0899342673184947,0.1951219512195122,0.0,0.1463414634146341,1
can i answer any more questions about this location?,0.0246233736722218,0.1193445857528321,0.2564102564102564,0.054054054054054,0.2051282051282051,1
can i answer any more questions for you about rosa's?,0.041411413304848,0.1120406556790293,0.2325581395348837,0.0975609756097561,0.1395348837209302,1
can i answer any other questions before booking that for you?,0.083155412717869,0.1676260313741414,0.2941176470588235,0.125,0.2941176470588235,1
can i answer any other questions for you about the cambridge belfry?,0.0603147012428246,0.154173369408577,0.380952380952381,0.2,0.1904761904761905,1
can i answer any other questions for you about the guest house?,0.1040001624370609,0.1720203336506494,0.3902439024390244,0.1538461538461538,0.3414634146341463,1
